sha256,url
003e66d57aab065710954956a3ed038370b1cf420ab1994740b254bdfe4818fd,https://www.youtube.com/s/player/8c57fc20/player_ias.vflset/en_US/captions.js
003e66d57aab065710954956a3ed038370b1cf420ab1994740b254bdfe4818fd,https://www.youtube.com/s/player/51e03cf0/player_ias.vflset/en_US/captions.js
00f47f5bcaa08a1f242be6f6fbb776df9b82afc93861be138b5d0343bc23a7a1,https://www.youtube.com/s/player/ed93444a/player_ias.vflset/en_US/captions.js
00f47f5bcaa08a1f242be6f6fbb776df9b82afc93861be138b5d0343bc23a7a1,https://www.youtube.com/s/player/777857f0/player_ias.vflset/en_US/captions.js
00f47f5bcaa08a1f242be6f6fbb776df9b82afc93861be138b5d0343bc23a7a1,https://www.youtube.com/s/player/0e56f409/player_ias.vflset/en_US/captions.js
01b2c48ffcb9b37d78e594043f8e3e600510f3827aa9082d762260dff8a90b81,https://www.youtube.com/s/player/1fc62019/player_ias.vflset/en_US/base.js
01ea7fe6bf142e0561da8a9ea539b21ec62b2efdbd692909d86aa7ae334060e7,https://www.youtube.com/s/player/7929661f/player_ias.vflset/en_US/base.js
01ed7b6d598f2a212db5ef522658e61a4568c688671abfed40f46efb1cfea5f1,https://www.youtube.com/s/player/0675bd00/player_ias.vflset/en_US/captions.js
01ed7b6d598f2a212db5ef522658e61a4568c688671abfed40f46efb1cfea5f1,https://www.youtube.com/s/player/3510b6ff/player_ias.vflset/en_US/captions.js
02e02fbbc9c201214a339a09fc333497e33754b9071ecc033092ac1228c59a1c,https://www.youtube.com/s/player/3e133d8d/player_ias.vflset/en_US/base.js
035ba0d35092ec4528f2907aae1112c10531ac3ab4d13761534da2ebdfe7b28d,https://www.youtube.com/s/player/fd1b5dc8/player_ias.vflset/en_US/base.js
0374d2be61258da46d7211701d7f4e2e76ca551dae7a66ee214e263e987f00dc,https://www.youtube.com/s/player/b3613e85/player_ias.vflset/en_US/base.js
03a260815cdf5c5f847236522ef17ad5675c096a41d98ee66b1ef878326064db,https://www.youtube.com/s/player/50cc0679/player_ias.vflset/en_US/base.js
0411085cafb90d679e25b0a71b58d9bdc8102d6e0266be4f79656b4d3cf7f1e7,https://www.youtube.com/s/player/a57ec7c6/player_ias.vflset/en_US/base.js
04c8f32ab2ea59bedc39b22ef4d680978f171842bb505c9174ef5f174717c31a,https://www.youtube.com/s/player/fa26f70e/player_ias.vflset/en_US/base.js
04db4acdaa2dfe2a2ce5aed9edbe19ad070c22dd1bf7a56247c60285a4b29f01,https://www.youtube.com/s/player/89e685a2/player_ias.vflset/en_US/captions.js
05f1153280ed82c11c6c7e6474f69194f0956f4a34fc532a6411a50a324abf5d,https://www.youtube.com/s/player/4eecba16/player_ias.vflset/en_US/base.js
06329316bc34fe539e7afbed70f36f8d110ed8f0c3fce7e6d92174c670f36c62,https://www.youtube.com/s/player/f57a8142/player_ias.vflset/en_US/base.js
0672ffefcc4b92982b120ea6f05df38c9224203d900554e484b7ae76d4174948,https://www.youtube.com/s/player/8c57fc20/player_ias.vflset/en_US/base.js
06964fc80f4e0fadc529bf9eb897e3d13565d32407133925068c48ad027e540b,https://www.youtube.com/s/player/f00d1fdd/player_ias.vflset/en_US/base.js
06d33b2bc2ec618de4e2679fad997a1f57f1b889b1212ebfa394d42805bae301,https://www.youtube.com/s/player/f104ea90/player_ias.vflset/en_US/captions.js
077407914764f6c533b1391691eeb51fd8d23c515b4a790e12fdf4533c0ea05b,https://www.youtube.com/s/player/1703d336/player_ias.vflset/en_US/captions.js
077cb733bd15ca0bd3588e16b92cf20062317c6cec946146529abb0c646de1dc,https://www.youtube.com/s/player/5af2a490/player_ias.vflset/en_US/captions.js
07daa896799c7411646f30f9f974979ab20f9d4da2393eaf7eb2f10022ed516e,https://www.youtube.com/s/player/e7573094/player_ias.vflset/en_US/captions.js
0887f2de7869c5230873caa188ed475c05fffaa976a8ae8a2c6541b112686020,https://www.youtube.com/s/player/bda6277d/player_ias.vflset/en_US/base.js
08ea0720ba51224860efef5d08af9d36318a72d185df007afeec81e2622126a0,https://www.youtube.com/s/player/96225f5f/player_ias.vflset/en_US/base.js
0911d847fc971f0a3bf2df8d70fdc79e8868979b76fea0442aba5a5576595b9f,https://www.youtube.com/s/player/2a850cbf/player_ias.vflset/en_US/base.js
091f5cde02871f99f67f21c0e8368cf7a9971c000ea6a3557ae4a472469f05af,https://www.youtube.com/s/player/0006d355/player_ias.vflset/en_US/base.js
0988516440bd970f366e04e49e577581b120e6b18e9188d64611c0ecc3f58c3f,https://www.youtube.com/s/player/5d93cfdb/player_ias.vflset/en_US/captions.js
0a22388ac5cfabcf9cbc2b0e38a327efb69e8c13e0bf7bcccfe6f53dadf9a0b7,https://www.youtube.com/s/player/d759498c/player_ias.vflset/en_US/base.js
0a9e588b146a6a5a718c4c8ac71c866246df2ebc7a069cf1305886780f8dff7b,https://www.youtube.com/s/player/7f3b257d/player_ias.vflset/en_US/base.js
0b16715b64ac96189f823d1eb4b30c19ce0629151fd16891a132687fb091f5a2,https://www.youtube.com/s/player/c816c7d8/player_ias.vflset/en_US/base.js
0b2ceeb4f11160b6c478ce671b8d49848094272df335b9eb625ed9bb6077583b,https://www.youtube.com/s/player/9f4cc5e4/player_ias.vflset/en_US/captions.js
